,Unnamed: 0,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,league,year_start,year_end
380,17,Real Valladolid,38,10,11,17,32,51,41,41.64,36.44,57.65,50.83,-14.39,10.17,8.55,139,243,41.8,la liga,2018,2019
381,18,Girona,38,9,10,19,37,53,37,42.99,38.53,55.33,49.39,-10.86,10.08,9.44,177,261,45.17,la liga,2018,2019
382,19,SD Huesca,38,7,12,19,43,65,33,51.38,46.18,63.43,56.74,-10.56,9.59,7.68,171,259,44.96,la liga,2018,2019
383,20,Rayo Vallecano,38,8,8,22,41,70,32,47.23,43.52,62.32,54.0,-10.48,9.2,6.99,133,253,43.02,la liga,2018,2019
384,1,Real Madrid,38,26,9,3,70,25,87,72.16,63.98,33.15,31.66,32.32,8.92,13.35,334,127,77.69,la liga,2019,2020
385,2,Barcelona,38,25,7,6,86,38,82,72.01,67.55,37.82,32.62,34.93,7.97,16.08,440,146,73.14,la liga,2019,2020
386,3,Atletico Madrid,38,18,16,4,51,27,70,58.7,52.74,31.52,28.54,24.2,9.47,9.89,264,162,72.35,la liga,2019,2020
387,4,Sevilla,38,19,13,6,54,34,70,55.16,49.95,36.62,33.63,16.32,7.95,11.37,238,148,65.71,la liga,2019,2020
388,5,Villarreal,38,18,6,14,63,49,60,65.61,57.43,48.59,41.83,15.6,9.72,11.57,218,228,64.05,la liga,2019,2020
389,6,Real Sociedad,38,16,8,14,56,48,56,50.92,47.2,41.89,35.2,12.0,8.27,11.34,231,192,57.18,la liga,2019,2020
390,7,Granada,38,16,8,14,52,45,56,45.02,41.31,43.44,39.72,1.58,9.64,7.25,135,197,52.6,la liga,2019,2020
391,8,Getafe,38,14,12,12,43,37,54,45.19,39.89,43.02,38.56,1.32,6.97,6.0,176,119,53.79,la liga,2019,2020
392,9,Valencia,38,14,11,13,46,53,53,45.58,39.63,59.07,52.38,-12.75,13.27,9.85,217,262,45.43,la liga,2019,2020
393,10,Osasuna,38,13,13,12,46,54,52,49.04,43.09,49.58,45.86,-2.77,8.57,7.99,197,191,51.51,la liga,2019,2020
394,11,Athletic Club,38,13,12,13,41,38,51,42.1,34.6,52.42,47.22,-12.62,9.32,9.77,122,205,44.65,la liga,2019,2020
395,12,Levante,38,14,7,17,47,53,49,49.43,45.71,64.25,58.89,-13.18,11.12,8.28,177,273,42.88,la liga,2019,2020
396,13,Real Valladolid,38,9,15,14,32,43,42,35.66,31.04,53.94,47.99,-16.95,11.93,7.61,109,226,39.38,la liga,2019,2020
397,14,Eibar,38,11,9,18,39,56,42,42.35,34.75,54.33,49.72,-14.96,8.87,8.69,141,197,42.91,la liga,2019,2020
398,15,Real Betis,38,10,11,17,48,60,41,48.9,42.95,56.3,48.13,-5.18,9.67,10.51,236,216,47.94,la liga,2019,2020
399,16,Alaves,38,10,9,19,34,59,39,38.15,33.69,57.93,46.78,-13.09,11.27,7.24,130,220,40.98,la liga,2019,2020
400,17,Celta Vigo,38,7,16,15,37,49,37,40.44,33.75,44.83,41.11,-7.36,9.96,9.26,188,215,47.26,la liga,2019,2020
401,18,Leganes,38,8,12,18,30,51,36,38.92,35.15,45.62,40.42,-5.27,10.38,7.11,158,166,48.92,la liga,2019,2020
402,19,Mallorca,38,9,6,23,40,65,33,40.46,33.02,65.17,53.28,-20.25,12.22,7.25,131,309,35.36,la liga,2019,2020
403,20,Espanyol,38,5,10,23,27,58,25,37.0,34.03,53.28,47.92,-13.89,8.71,9.53,148,191,41.76,la liga,2019,2020
404,1,Real Madrid,38,29,6,3,106,41,93,90.87,84.92,36.86,33.89,51.03,9.14,12.01,333,173,86.17,la liga,2016,2017
405,2,Barcelona,38,28,6,4,116,37,90,93.55,86.86,31.32,31.32,55.55,6.31,12.63,552,144,87.95,la liga,2016,2017
406,3,Atletico Madrid,38,23,9,6,70,27,78,60.66,54.53,31.34,28.36,26.17,9.57,8.39,265,168,69.1,la liga,2016,2017
407,4,Sevilla,38,21,9,8,69,49,72,59.09,55.27,38.7,34.87,20.4,6.76,9.78,338,201,66.18,la liga,2016,2017
408,5,Villarreal,38,19,10,9,56,33,67,52.23,46.28,43.16,38.7,7.58,10.45,9.93,268,260,59.57,la liga,2016,2017
409,6,Real Sociedad,38,19,7,12,59,53,64,45.58,39.64,43.71,38.38,1.26,6.93,10.3,229,168,54.94,la liga,2016,2017
410,7,Athletic Club,38,19,6,13,53,43,63,51.08,45.14,40.46,37.97,7.17,7.73,9.1,233,167,60.54,la liga,2016,2017
411,8,Espanyol,38,15,11,12,49,50,56,32.55,29.58,38.35,36.86,-7.28,10.87,7.6,117,254,46.92,la liga,2016,2017
412,9,Alaves,38,14,13,11,41,43,55,42.6,39.63,43.97,39.51,0.12,10.79,7.43,110,248,52.79,la liga,2016,2017
413,10,Eibar,38,15,9,14,56,51,54,42.98,36.89,45.17,40.71,-3.82,7.55,9.17,157,218,50.05,la liga,2016,2017
414,11,Malaga,38,12,10,16,49,55,46,40.37,36.53,47.35,42.15,-5.61,8.57,7.93,167,198,45.75,la liga,2016,2017
415,12,Valencia,38,13,7,18,56,65,46,50.34,45.88,50.96,41.16,4.72,9.17,8.19,174,230,53.39,la liga,2016,2017
416,13,Celta Vigo,38,13,6,19,53,69,45,40.48,35.28,55.98,48.53,-13.26,8.46,9.79,206,241,42.63,la liga,2016,2017
417,14,Las Palmas,38,10,9,19,53,74,39,40.8,36.34,58.39,50.22,-13.88,9.0,9.34,270,211,42.11,la liga,2016,2017
418,15,Real Betis,38,10,9,19,41,64,39,35.72,34.23,48.27,44.45,-10.22,8.35,7.99,181,217,44.56,la liga,2016,2017
419,16,Deportivo La Coruna,38,8,12,18,43,61,36,41.0,35.66,48.6,46.37,-10.71,9.42,8.41,103,232,51.16,la liga,2016,2017
420,17,Leganes,38,8,11,19,36,55,35,33.19,30.22,46.39,41.01,-10.79,8.52,7.09,165,164,40.95,la liga,2016,2017
421,18,Sporting Gijon,38,7,10,21,42,72,31,36.35,31.0,64.43,57.74,-26.74,9.13,7.48,201,247,33.86,la liga,2016,2017
422,19,Osasuna,38,4,10,24,40,94,22,33.13,28.67,64.82,58.14,-29.47,10.37,6.43,136,270,31.64,la liga,2016,2017
423,20,Granada,38,4,8,26,30,82,20,29.69,28.84,74.03,71.05,-42.21,10.7,7.74,113,307,26.5,la liga,2016,2017
424,1,Atletico Madrid,38,26,8,4,67,25,86,57.66,52.31,35.67,32.7,19.61,10.32,12.38,310,165,66.41,la liga,2020,2021
425,2,Real Madrid,38,25,9,4,67,28,84,65.07,62.84,38.7,32.75,30.09,10.14,14.03,326,171,69.98,la liga,2020,2021
426,3,Barcelona,38,24,7,7,85,38,79,83.96,78.01,40.93,37.22,40.8,9.51,16.2,499,166,78.18,la liga,2020,2021
427,4,Sevilla,38,24,5,9,53,33,77,55.86,50.66,34.33,29.84,20.81,8.15,14.58,240,139,66.96,la liga,2020,2021
428,5,Real Sociedad,38,17,11,10,59,38,62,63.15,54.22,38.8,35.08,19.14,8.06,11.7,285,160,67.61,la liga,2020,2021
429,6,Real Betis,38,17,10,11,50,50,61,49.77,41.43,47.51,40.08,1.35,9.12,10.55,224,180,55.37,la liga,2020,2021
430,7,Villarreal,38,15,13,10,60,44,58,57.86,48.19,43.67,36.98,11.21,9.85,11.43,291,182,63.77,la liga,2020,2021
431,8,Celta Vigo,38,14,11,13,55,57,53,51.32,46.12,50.31,44.37,1.75,7.4,10.84,217,187,52.83,la liga,2020,2021
432,9,Athletic Club,38,11,13,14,46,42,46,43.06,39.35,38.46,34.0,5.34,9.75,9.8,202,197,54.77,la liga,2020,2021
433,10,Granada,38,13,7,18,47,65,46,41.05,37.34,59.82,50.61,-13.27,10.74,6.88,128,234,40.58,la liga,2020,2021
434,11,Osasuna,38,11,11,16,37,48,44,39.61,35.15,49.83,43.88,-8.74,10.91,8.73,172,243,45.1,la liga,2020,2021
435,12,Cadiz,38,11,11,16,36,58,44,36.7,33.73,58.91,51.48,-17.75,16.57,5.93,77,274,39.01,la liga,2020,2021
436,13,Valencia,38,10,13,15,50,53,43,41.89,34.46,55.69,49.74,-15.28,10.94,8.81,162,262,42.38,la liga,2020,2021
437,14,Levante,38,9,14,15,46,57,41,40.93,36.47,55.13,52.16,-15.69,9.47,10.22,221,245,43.53,la liga,2020,2021
438,15,Getafe,38,9,11,18,28,43,38,35.62,31.91,40.4,34.32,-2.42,8.81,6.43,134,155,48.39,la liga,2020,2021
439,16,Alaves,38,9,11,18,36,57,38,39.11,33.17,51.55,49.32,-16.15,12.25,7.88,119,212,43.23,la liga,2020,2021
440,17,Elche,38,8,12,18,34,55,36,30.4,28.17,61.63,54.2,-26.03,13.23,8.87,78,280,30.31,la liga,2020,2021
441,18,SD Huesca,38,7,13,18,34,53,34,37.98,35.0,48.64,44.92,-9.92,11.32,8.53,98,215,45.23,la liga,2020,2021
442,19,Real Valladolid,38,5,16,17,34,57,31,37.92,31.97,52.56,47.36,-15.39,10.57,7.97,134,243,41.53,la liga,2020,2021
443,20,Eibar,38,6,12,20,29,52,30,42.45,35.64,48.84,45.12,-9.48,8.99,10.58,149,156,48.62,la liga,2020,2021
444,1,Real Madrid,38,26,8,4,80,31,86,80.22,71.3,45.78,41.97,29.33,11.61,14.56,465,211,73.59,la liga,2021,2022
445,2,Barcelona,38,21,10,7,68,38,73,70.54,65.34,35.08,32.85,32.49,7.44,14.92,317,161,73.6,la liga,2021,2022
446,3,Atletico Madrid,38,21,8,9,65,43,71,59.45,55.73,35.77,29.82,25.91,10.96,11.06,265,135,69.01,la liga,2021,2022
447,4,Sevilla,38,18,16,4,53,30,70,46.85,44.62,40.6,37.62,7.0,8.84,13.76,192,184,57.0,la liga,2021,2022
448,5,Real Betis,38,19,8,11,62,40,65,55.9,51.44,46.79,44.56,6.89,9.46,10.89,273,191,56.49,la liga,2021,2022
449,6,Real Sociedad,38,17,11,10,40,37,62,56.09,48.65,41.51,37.05,11.6,8.7,11.25,268,189,64.02,la liga,2021,2022
450,7,Villarreal,38,16,11,11,63,37,59,70.33,65.87,47.89,44.18,21.7,8.83,11.02,324,165,63.85,la liga,2021,2022
451,8,Athletic Club,38,14,13,11,43,36,55,57.01,51.65,39.29,37.06,14.59,10.06,9.66,231,178,62.79,la liga,2021,2022
452,9,Valencia,38,11,15,12,48,53,48,42.28,35.5,52.24,46.16,-10.66,8.71,6.37,185,203,46.28,la liga,2021,2022
453,10,Osasuna,38,12,11,15,37,51,47,42.03,36.08,50.59,45.39,-9.3,9.79,10.38,174,233,48.99,la liga,2021,2022
454,11,Celta Vigo,38,12,10,16,43,43,46,44.94,40.23,46.12,40.07,0.15,7.63,11.09,230,196,51.23,la liga,2021,2022
455,12,Rayo Vallecano,38,11,9,18,39,50,42,47.03,44.06,52.15,45.46,-1.41,8.47,8.28,158,210,50.46,la liga,2021,2022
456,13,Elche,38,11,9,18,40,52,42,36.81,36.07,61.07,54.36,-18.28,12.42,8.81,143,235,35.67,la liga,2021,2022
457,14,Espanyol,38,10,12,16,40,53,42,38.9,35.18,57.12,53.4,-18.22,13.16,9.04,150,311,40.03,la liga,2021,2022
458,15,Getafe,38,8,15,15,33,41,39,31.55,27.71,44.49,41.52,-13.81,11.47,7.92,125,185,42.87,la liga,2021,2022
459,16,Cadiz,38,8,15,15,35,51,39,41.8,37.21,54.74,44.92,-7.71,12.71,8.24,147,261,44.18,la liga,2021,2022
460,17,Mallorca,38,10,9,19,36,63,39,40.58,35.38,56.14,50.07,-14.69,10.3,6.96,188,241,39.75,la liga,2021,2022
461,18,Granada,38,8,14,16,44,61,38,41.3,37.58,66.09,59.4,-21.82,10.67,8.3,141,279,37.24,la liga,2021,2022
462,19,Levante,38,8,11,19,51,76,35,57.56,47.77,62.61,58.15,-10.38,10.0,10.42,185,241,52.73,la liga,2021,2022
463,20,Alaves,38,8,7,23,31,65,31,38.46,33.26,63.57,56.63,-23.37,11.42,7.7,131,283,37.6,la liga,2021,2022
464,1,Paris Saint Germain,27,22,2,3,75,24,68,76.42,70.34,22.43,22.43,47.9,6.88,18.38,324,100,65.68,ligue 1,2019,2020
465,2,Marseille,28,16,8,4,41,29,56,36.42,31.86,32.05,28.25,3.62,8.56,11.77,145,86,41.73,ligue 1,2019,2020
466,3,Rennes,28,15,5,8,38,24,50,34.37,30.43,28.15,24.35,6.08,10.63,10.0,121,132,41.18,ligue 1,2019,2020
467,4,Lille,28,15,4,9,35,27,49,40.81,34.61,30.17,25.61,9.01,9.52,12.94,141,124,47.12,ligue 1,2019,2020
468,5,Reims,28,10,11,7,26,21,41,28.93,25.13,26.47,21.67,3.46,12.07,9.88,131,109,40.42,ligue 1,2019,2020
469,6,Nice,28,11,8,9,41,38,41,36.45,32.65,42.69,37.37,-4.72,11.01,12.3,110,170,35.62,ligue 1,2019,2020
470,7,Lyon,28,11,7,10,42,27,40,36.24,31.68,24.73,22.45,9.24,9.89,14.16,152,121,46.34,ligue 1,2019,2020
471,8,Montpellier,28,11,7,10,35,34,40,34.95,31.15,32.26,28.46,2.69,10.28,10.1,119,141,40.05,ligue 1,2019,2020
472,9,Monaco,28,11,7,10,44,44,40,48.55,45.51,41.06,36.5,9.01,10.6,11.85,211,119,42.47,ligue 1,2019,2020
473,10,Angers,28,11,6,11,28,33,39,27.1,26.34,28.15,25.87,0.48,16.4,10.37,132,117,37.49,ligue 1,2019,2020
474,11,Strasbourg,27,11,5,11,32,32,38,34.56,31.52,33.46,28.14,3.37,11.25,10.75,133,100,37.74,ligue 1,2019,2020
475,12,Bordeaux,28,9,10,9,40,34,37,30.47,28.95,35.2,32.92,-3.97,9.49,11.65,91,156,37.06,ligue 1,2019,2020
476,13,Nantes,28,11,4,13,28,31,37,27.81,26.29,30.26,25.57,0.73,11.92,9.98,110,122,35.91,ligue 1,2019,2020
477,14,Brest,28,8,10,10,34,37,34,30.05,26.25,44.11,39.55,-13.3,11.36,11.57,149,154,30.64,ligue 1,2019,2020
478,15,Metz,28,8,10,10,27,35,34,24.65,21.61,36.54,33.5,-11.89,13.82,8.85,92,145,29.04,ligue 1,2019,2020
479,16,Dijon,28,7,9,12,27,37,30,27.38,26.62,39.3,38.54,-11.92,12.28,8.81,111,176,31.19,ligue 1,2019,2020
480,17,Saint-Etienne,28,8,6,14,29,45,30,29.65,25.85,37.73,33.17,-7.31,10.22,9.97,93,133,32.68,ligue 1,2019,2020
481,18,Nimes,28,7,6,15,29,44,27,30.19,28.67,40.47,37.43,-8.76,10.47,8.14,109,159,32.69,ligue 1,2019,2020
482,19,Amiens,28,4,11,13,31,50,23,25.62,21.69,38.43,37.67,-15.97,11.55,9.25,101,148,32.84,ligue 1,2019,2020
483,20,Toulouse,28,3,4,21,22,58,13,31.29,26.73,48.28,44.47,-17.74,12.78,9.34,115,178,28.01,ligue 1,2019,2020
484,1,Monaco,38,30,5,3,107,31,95,76.04,67.68,34.89,31.09,36.58,9.08,11.2,226,139,78.06,ligue 1,2016,2017
485,2,Paris Saint Germain,38,27,6,5,83,27,87,82.16,74.56,24.25,21.97,52.59,7.6,18.08,329,95,87.22,ligue 1,2016,2017
486,3,Nice,38,22,12,4,63,36,78,51.54,45.46,50.89,47.85,-2.39,11.66,12.18,198,173,53.47,ligue 1,2016,2017
487,4,Lyon,38,21,4,13,80,48,67,71.13,60.49,41.03,36.47,24.02,7.06,11.86,274,143,69.07,ligue 1,2016,2017
488,5,Marseille,38,17,11,10,57,41,62,53.83,50.79,47.33,45.8,4.98,8.75,11.96,197,185,56.84,ligue 1,2016,2017
489,6,Bordeaux,38,15,14,9,53,43,59,52.02,46.69,44.11,41.07,5.62,11.03,9.38,145,177,58.16,ligue 1,2016,2017
490,7,Nantes,38,14,9,15,40,54,51,42.99,39.95,44.62,37.78,2.16,9.53,9.54,174,159,52.83,ligue 1,2016,2017
491,8,Saint-Etienne,38,12,14,12,41,42,50,42.92,38.36,50.26,47.22,-8.87,9.52,10.4,185,171,49.18,ligue 1,2016,2017
492,9,Rennes,38,12,14,12,36,42,50,41.81,39.53,43.54,40.5,-0.97,9.79,10.49,136,163,50.94,ligue 1,2016,2017
493,10,Guingamp,38,14,8,16,46,53,50,47.14,44.1,52.31,43.83,0.27,10.69,9.33,205,192,48.49,ligue 1,2016,2017
494,11,Lille,38,13,7,18,40,47,46,44.08,38.0,48.77,44.06,-6.06,9.91,9.58,142,185,47.24,ligue 1,2016,2017
495,12,Angers,38,13,7,18,40,49,46,46.19,43.15,41.02,39.5,3.66,13.15,10.39,178,150,54.69,ligue 1,2016,2017
496,13,Toulouse,38,10,14,14,37,41,44,41.19,34.19,42.98,36.14,-1.94,8.65,7.68,147,164,50.61,ligue 1,2016,2017
497,14,Metz,38,11,10,17,39,72,43,34.76,27.91,63.68,58.35,-30.44,12.81,8.04,131,261,36.0,ligue 1,2016,2017
498,15,Montpellier,38,10,9,19,48,66,39,44.2,41.92,52.03,46.71,-4.79,12.11,9.76,187,161,47.03,ligue 1,2016,2017
499,16,Dijon,38,8,13,17,46,58,37,38.59,34.79,62.66,53.54,-18.75,10.84,9.51,166,222,36.73,ligue 1,2016,2017
500,17,Caen,38,10,7,21,36,65,37,45.28,40.72,56.47,50.38,-9.67,11.12,8.79,122,213,45.49,ligue 1,2016,2017
501,18,Lorient,38,10,6,22,44,70,36,44.46,39.79,51.88,47.32,-7.52,12.26,11.81,172,179,46.81,ligue 1,2016,2017
502,19,Nancy,38,9,8,21,29,52,35,32.58,30.3,54.45,48.37,-18.07,10.32,8.75,121,208,39.45,ligue 1,2016,2017
503,20,SC Bastia,38,8,10,20,29,57,34,32.27,31.51,58.01,51.93,-20.42,12.78,6.96,100,195,36.84,ligue 1,2016,2017
504,1,Paris Saint Germain,38,29,4,5,105,35,91,95.34,86.22,36.78,32.08,54.15,7.26,16.85,459,132,86.04,ligue 1,2018,2019
505,2,Lille,38,22,9,7,68,33,75,60.01,50.03,39.85,32.25,17.78,10.77,9.91,196,162,67.02,ligue 1,2018,2019
506,3,Lyon,38,21,9,8,70,47,72,72.71,65.11,44.71,40.91,24.21,8.17,13.21,264,152,69.49,ligue 1,2018,2019
507,4,Saint-Etienne,38,19,9,10,59,41,66,57.85,54.05,48.81,41.97,12.08,9.53,11.37,197,185,58.37,ligue 1,2018,2019
508,5,Marseille,38,18,7,13,60,52,61,52.08,48.28,44.59,35.42,12.86,8.3,13.03,181,140,55.93,ligue 1,2018,2019
509,6,Montpellier,38,15,14,9,53,42,59,46.62,44.34,41.26,37.33,7.01,10.97,10.21,192,178,56.1,ligue 1,2018,2019
510,7,Nice,38,15,11,12,30,35,56,43.45,36.51,49.73,45.17,-8.66,10.62,12.01,135,216,48.16,ligue 1,2018,2019
511,8,Reims,38,13,16,9,39,42,55,37.12,35.6,42.28,36.96,-1.36,12.08,8.41,165,176,48.22,ligue 1,2018,2019
512,9,Nimes,38,15,8,15,57,58,53,48.5,43.94,55.47,51.67,-7.73,10.78,7.93,151,189,49.9,ligue 1,2018,2019
513,10,Rennes,38,13,13,12,55,52,52,56.05,48.3,46.19,42.31,5.99,10.49,10.95,187,207,59.93,ligue 1,2018,2019
514,11,Strasbourg,38,11,16,11,58,48,49,40.59,35.22,48.51,41.57,-6.35,11.44,11.71,156,182,46.48,ligue 1,2018,2019
515,12,Nantes,38,13,9,16,48,48,48,48.04,41.96,47.3,41.07,0.89,9.64,9.46,166,182,54.62,ligue 1,2018,2019
516,13,Angers,38,10,16,12,44,49,46,47.5,39.75,46.31,42.41,-2.65,15.42,9.53,189,204,53.21,ligue 1,2018,2019
517,14,Bordeaux,38,10,11,17,34,42,41,37.27,32.68,52.19,46.87,-14.18,10.21,9.73,159,188,41.37,ligue 1,2018,2019
518,15,Amiens,38,9,11,18,31,52,38,34.63,32.35,46.76,39.91,-7.56,10.55,8.87,146,213,42.34,ligue 1,2018,2019
519,16,Toulouse,38,8,14,16,35,57,38,42.73,34.37,56.42,51.86,-17.49,10.47,9.19,174,209,43.98,ligue 1,2018,2019
520,17,Monaco,38,8,12,18,38,57,36,46.49,42.69,48.76,42.66,0.04,9.87,10.78,184,169,51.27,ligue 1,2018,2019
521,18,Dijon,38,9,7,22,31,60,34,36.13,32.97,57.61,55.33,-22.36,10.26,10.01,199,214,37.47,ligue 1,2018,2019
522,19,Caen,38,7,12,19,29,54,33,26.97,23.93,61.09,55.01,-31.07,11.86,8.47,98,224,30.24,ligue 1,2018,2019
523,20,Guingamp,38,5,12,21,28,68,27,39.46,34.81,54.94,50.38,-15.56,12.26,8.27,151,227,44.12,ligue 1,2018,2019
524,1,Lille,38,24,11,3,64,23,83,48.07,44.27,25.68,24.16,20.11,10.79,14.23,224,131,67.61,ligue 1,2020,2021
525,2,Paris Saint Germain,38,26,4,8,86,28,82,83.89,74.01,36.85,35.33,38.67,7.57,18.04,355,155,78.27,ligue 1,2020,2021
526,3,Monaco,38,24,6,8,76,42,78,70.35,58.8,33.95,30.15,28.65,8.76,14.88,322,117,75.81,ligue 1,2020,2021
527,4,Lyon,38,22,10,6,81,43,76,82.37,74.01,38.42,33.1,40.91,9.69,13.91,372,150,78.81,ligue 1,2020,2021
528,5,Marseille,38,16,12,10,54,47,60,49.29,43.97,46.49,44.21,-0.24,9.49,12.5,200,179,55.24,ligue 1,2020,2021
529,6,Rennes,38,16,10,12,52,40,58,46.75,44.47,36.06,33.02,11.45,9.62,15.72,249,152,58.78,ligue 1,2020,2021
530,7,Lens,38,15,12,11,55,54,57,56.36,47.24,46.41,38.05,9.19,10.43,11.25,196,176,60.04,ligue 1,2020,2021
531,8,Montpellier,38,14,12,12,60,62,54,52.27,48.47,67.22,58.1,-9.63,13.87,10.54,144,296,44.74,ligue 1,2020,2021
532,9,Nice,38,15,7,16,50,53,52,46.37,41.05,56.18,50.86,-9.81,10.89,13.51,215,206,46.96,ligue 1,2020,2021
533,10,Metz,38,12,11,15,44,48,47,42.26,33.9,48.4,38.52,-4.62,12.62,9.12,116,219,47.96,ligue 1,2020,2021
534,11,Saint-Etienne,38,12,10,16,42,54,46,47.28,40.35,49.15,42.31,-1.95,10.7,8.8,141,188,52.35,ligue 1,2020,2021
535,12,Bordeaux,38,13,6,19,42,56,45,43.55,40.51,54.87,48.79,-8.28,12.49,12.06,157,227,45.11,ligue 1,2020,2021
536,13,Angers,38,12,8,18,40,58,44,39.92,35.36,52.81,46.73,-11.38,14.4,10.47,146,190,42.64,ligue 1,2020,2021
537,14,Reims,38,9,15,14,42,50,42,33.23,29.43,61.79,55.71,-26.28,14.04,10.54,139,238,33.94,ligue 1,2020,2021
538,15,Strasbourg,38,11,9,18,49,58,42,52.78,43.41,50.22,44.14,-0.73,13.3,10.41,200,190,52.85,ligue 1,2020,2021
539,16,Lorient,38,11,9,18,50,68,42,48.15,40.55,52.48,44.12,-3.56,12.24,9.53,141,233,50.28,ligue 1,2020,2021
540,17,Brest,38,11,8,19,50,66,41,45.77,42.73,58.02,49.65,-6.92,12.68,11.76,229,247,43.95,ligue 1,2020,2021
541,18,Nantes,38,9,13,16,47,55,40,48.27,41.43,54.89,45.77,-4.34,12.73,8.56,160,215,48.75,ligue 1,2020,2021
542,19,Nimes,38,9,8,21,40,71,35,41.39,35.31,64.17,56.24,-20.92,13.47,8.44,168,230,39.7,ligue 1,2020,2021
543,20,Dijon,38,4,9,25,25,73,21,31.85,28.05,76.12,68.37,-40.32,13.93,9.77,140,275,24.88,ligue 1,2020,2021
544,1,Paris Saint Germain,38,26,8,4,90,36,86,82.34,76.25,38.0,35.72,40.53,9.52,18.21,383,151,80.39,ligue 1,2021,2022
545,2,Marseille,38,21,8,9,63,38,71,59.87,52.27,42.79,39.75,12.52,10.82,18.24,258,154,63.17,ligue 1,2021,2022
546,3,Monaco,38,20,9,9,65,40,69,63.58,56.74,42.51,35.67,21.07,8.68,13.51,324,157,66.01,ligue 1,2021,2022
547,4,Nice,38,20,7,11,52,36,67,59.6,52.0,44.95,41.15,10.85,11.87,13.31,189,185,61.81,ligue 1,2021,2022
548,5,Rennes,38,20,6,12,82,40,66,68.24,65.2,43.77,39.21,26.0,9.77,16.83,294,157,64.67,ligue 1,2021,2022
549,6,Strasbourg,38,17,12,9,60,43,63,61.2,55.12,44.68,41.64,13.48,11.37,12.63,252,150,63.49,ligue 1,2021,2022
550,7,Lyon,38,17,11,10,66,51,62,73.32,67.24,54.69,48.47,18.77,8.87,14.25,310,195,64.94,ligue 1,2021,2022
551,8,Lens,38,17,11,10,62,48,62,52.24,48.44,43.7,39.89,8.54,12.15,13.88,219,194,57.5,ligue 1,2021,2022
552,9,Nantes,38,15,10,13,55,48,55,45.77,41.97,53.53,48.21,-6.24,13.06,10.78,155,240,45.49,ligue 1,2021,2022
553,10,Lille,38,14,13,11,48,48,55,56.39,52.59,36.97,32.41,20.18,11.3,11.52,218,180,66.82,ligue 1,2021,2022
554,11,Brest,38,13,9,16,49,57,48,44.85,38.75,60.57,57.53,-18.78,15.67,9.99,168,265,44.18,ligue 1,2021,2022
555,12,Reims,38,11,13,14,43,44,46,40.01,35.3,47.79,42.45,-7.15,13.93,8.83,152,214,46.1,ligue 1,2021,2022
556,13,Montpellier,38,12,7,19,49,61,43,42.47,39.43,57.5,52.94,-13.52,12.37,9.93,167,262,43.21,ligue 1,2021,2022
557,14,Angers,38,10,11,17,44,55,41,45.21,38.37,51.69,47.89,-9.52,12.86,10.72,134,185,48.98,ligue 1,2021,2022
558,15,Troyes,38,9,11,18,37,53,38,39.66,34.34,52.99,45.39,-11.05,15.22,9.15,141,268,44.09,ligue 1,2021,2022
559,16,Lorient,38,8,12,18,35,63,36,39.32,37.04,54.5,49.94,-12.9,13.35,9.83,163,221,40.73,ligue 1,2021,2022
560,17,Clermont Foot,38,9,9,20,38,69,36,42.07,39.66,55.85,52.05,-12.39,13.47,10.86,159,212,43.38,ligue 1,2021,2022
561,18,Saint-Etienne,38,7,11,20,42,77,32,40.18,36.38,64.76,58.68,-22.3,10.89,9.59,146,196,39.69,ligue 1,2021,2022
562,19,Metz,38,6,13,19,35,69,31,30.15,29.39,71.65,67.85,-38.46,13.57,9.15,84,265,26.71,ligue 1,2021,2022
563,20,Bordeaux,38,6,13,19,52,91,31,46.28,43.24,69.82,62.84,-19.59,11.64,10.86,173,238,38.21,ligue 1,2021,2022
564,1,Paris Saint Germain,38,30,6,2,102,19,96,86.2,79.96,24.37,22.09,57.87,6.32,18.25,341,121,90.27,ligue 1,2015,2016
565,2,Lyon,38,19,8,11,67,43,65,63.01,59.97,38.01,36.49,23.48,6.05,12.87,294,114,68.69,ligue 1,2015,2016
566,3,Monaco,38,17,14,7,57,50,65,58.13,52.81,48.81,46.53,6.28,8.66,8.87,154,197,59.39,ligue 1,2015,2016
567,4,Nice,38,18,9,11,58,41,63,45.23,41.43,47.71,43.91,-2.48,9.37,11.85,167,190,51.99,ligue 1,2015,2016
568,5,Lille,38,15,15,8,39,27,60,41.69,39.41,35.79,31.98,7.43,7.89,8.3,192,154,55.97,ligue 1,2015,2016
569,6,Saint-Etienne,38,17,7,14,42,37,58,45.46,41.66,44.66,42.38,-0.72,7.99,10.89,195,190,53.63,ligue 1,2015,2016
570,7,Caen,38,16,6,16,39,52,54,43.9,39.34,49.69,48.17,-8.83,12.32,6.72,137,234,49.48,ligue 1,2015,2016
571,8,Rennes,38,13,13,12,52,54,52,42.91,37.44,47.02,44.74,-7.3,9.99,9.64,169,197,49.63,ligue 1,2015,2016
572,9,Angers,38,13,11,14,40,38,50,36.58,31.26,41.02,37.22,-5.96,13.99,7.96,99,176,46.15,ligue 1,2015,2016
573,10,SC Bastia,38,14,8,16,36,42,50,29.51,27.99,48.36,43.8,-15.8,11.29,7.28,123,209,37.83,ligue 1,2015,2016
